Title,Author,First Published,Publisher,ISBN,Language,Pages,Subjects,Avg Rating,Rating Count,Want to Read,Reading Now,Already Read
Master of Middle-earth,"Paul Harold Kocher, Paul H. Kocher, P. Kocher, Paul KOCHER",1972,"Thames and Hudson, Pimlico",9780500010952,eng,247,"Criticism and interpretation, English Fantasy fiction, History",,,7,1,2
The Invisible Man,H. G. Wells,0,"George Newnes Ltd., American Guidance Service",1400150663,"cat, fre, por, eng, chi, spa, ger, rus, mon, ita",170,"Ciencia-ficción, Classic Literature, Fiction",3.8018868,106,1675,132,190
Runaway love 2,Virgo (Urban fiction writer),2015,Royalty Publishing House,9781517679842,eng,125,"African Americans, Fiction, Man-woman relationships",,,8,1,1
Science fact/fiction,"Edmund J. Farrell, Robert Sheckley, Anatoly Dnieprov, Richard Brautigan, Kurt Vonnegut, Karel Čapek, David Ely, Isaac Asimov, Charles Beaumont, Jack Anderson, Robert Bloch, Arthur C. Clarke, William Morrison, Fritz Leiber, Harry Harrison, H. G. Wells, Arthur Koestler, Howard Fast, Roald Dahl, Peter Tompkins, Christopher Bird, Fredric Brown, T.P. Caravan, Damon Knight, May Swenson, Philip José Farmer, Philip J. Hilts, Marion Gross, Ray Bradbury, Jack Lewis, Jack Finney, Josephine Miles, Edmond Hamilton, Wolfgang Pauli, Walter S. Tevis, Olga Cabral, Douglas Colligan, Frederik Pohl, Alfred Bester, Shirley Jackson, Philip K. Dick, William Stafford, R. Buckminster Fuller",1974,"Scott Foresman & Company, Scott, Foresman and Company",9780673034076,eng,394,readers,,,7,0,0
The fiction class,Susan Breen,2008,"Taylor & Francis Group, Wheeler Pub.",9781597228558,eng,308,"Women teachers, Literature, Parent and adult child",,,1,1,0
Science Fiction Stories,"Edward Blishen, Isaac Asimov, Ray Bradbury, Karin Littlewood",1988,"Kingfisher Books, Kingfisher Books Ltd",0862728037,eng,256,"Science fiction, Science fiction, juvenile literature, Short stories",,,3,1,0
The science fiction film reader,Gregg Rickman,2004,"Limelight Editions, Leonard Corporation, Hal",9780879106249,eng,432,"History and criticism, Science fiction films, Science fiction, history and criticism",,,6,0,0
Skyfall,"Harry Harrison, Rowena Morrill",1976,"Faber, Heyne",9780441769438,"eng, ger",270,"Fiction in English, Power resources, Fiction",3.0,2,3,0,2
Alice isn't dead,"Fink, Joseph (Fiction writer)",2018,HarperPerennial,9780062844132,eng,321,"Missing persons, Fiction, Truck drivers",4.0,1,5,2,2
"An Anthology of Graphic Fiction, Cartoons, and True Stories","Ivan Brunetti, Robert Crumb, Kim Deitch, Art Spiegelman, Chris Ware, Ben Katchor, Charles Burns, Gary Panter, Seth, Phoebe Gloeckner, Daniel Clowes, Lynda Barry, Joe Sacco, Jaime Hernandez, Gilbert Hernandez",2006,Yale University Press,9780300126716,eng,400,"Comic books, strips, Pictorial American wit and humor, Cartooning",4.0,1,8,0,3
Short Fiction,H. Beam Piper,2024,Standard Ebooks,,eng,,"Science fiction, Short stories, Human-alien encounters--Fiction",,,9,0,0
Women of Wonder,Pamela Sargent,1974,"Penguin, Vintage Books",039471041X,"eng, dut",285,"American Science fiction, American fiction, Fiction",,,11,0,1
Nightfall and Other Stories,Isaac Asimov,1969,"Luis de Caralt., Grafton",0449231887,"eng, spa",343,American Science fiction,3.6,10,21,1,19
Barkskins,Annie Proulx,2016,"Fourth Estate, Scribner",8467269065,"spa, eng",736,"Families, Fiction, Lumber trade",3.4285715,7,15,1,8
A science fiction argosy,"Damon Knight, Isaac Asimov",1972,"Orion Publishing Group, Limited, Simon and Schuster",0575015209,eng,828,"American Science fiction, English Science fiction, Science fiction, American",,,4,0,1
Bending the Landscape,"Nicola Griffith, Stephen Pagel",1998,"Overlook TP, Overlook Hardcover",0879518561,eng,384,"Gay & Lesbian studies, Science Fiction, Short stories",,,9,0,1
Trouble and her friends,Melissa Scott,1994,"Tom Doherty Associates, Orb Books",9780765328489,eng,379,"Fiction, Twenty-first century, women",3.0,1,20,3,4
H. P. Lovecraft - The Complete Fiction,H.P. Lovecraft,2011,Barnes & Noble,1435122968,eng,1104,American literature,4.75,4,3,3,3
The general zapped an angel,Howard Fast,1970,"HarperCollins Publishers, William Morrow",9781453242087,eng,160,"American Science fiction, American Fantasy fiction, Fiction, science fiction, general",5.0,1,17,0,0
The aleph,Jorge Luis Borges,2004,Penguin Books,9780142437889,eng,210,"Long Now Manual for Civilization, Social life and customs, Fiction",5.0,4,10,0,5
Fiction and the reading public,Q. D. Leavis,1932,"Norwood Editions, Russell & Russell",0841422656,eng,348,"Books and reading, History and criticism, English fiction",,,4,0,0
Short Fiction,H.P. Lovecraft,2018,Standard Ebooks,,eng,,"Horror tales, American, Haunted houses -- Fiction, Fantasy fiction",5.0,1,7,0,1
Dykeversions,The Lesbian Writing and Publishing Collective,,,,,,,,,7,0,1
Cowboys,Stewart Ross,1995,"Copper Beech Books, Puffin",9781562946180,eng,48,"Social life and customs, Frontier and pioneer life, Cowboys",,,3,0,0
"The Case of ""Peter Pan"" (Language, Discourse, Society)",Jacqueline Rose,1984,"Macmillan, Palgrave Macmillan",0812214358,"und, eng",181,"Children's literature, History and criticism, Theory",,,7,0,0
Elements of literature,"Robert Scholes, Carl H. Klaus, Jorge Luis Borges, Антон Павлович Чехов",1978,Oxford University Press,9780195022650,eng,1356,"Anthologies, Literature, Collections",4.5,2,16,0,3
New Suns: Original Speculative Fiction by People of Color,Nisi Shawl,2019,"Rebellion, Solaris",9781786182036,eng,384,"Fiction, short stories (single author), American Speculative fiction, Canadian Speculative fiction",3.0,2,12,0,2
Force 10 from Navarone,Alistair MacLean,1968,"Grafton, Hamlyn/Companion Book Club",000615395X,"eng, dut, ger",264,"Fiction in English, Fiction, World War, 1939-1945",3.0,1,17,1,5
Tomorrow's children,"Isaac Asimov, Robert Sheckley, Margaret St. Clair, Henry Kuttner, C. L. Moore, Fritz Leiber, William M. Lee, Damon Knight, Murray Leinster, Zenna Henderson, Robert A. Heinlein, Gertrude Friedberg, Philip K. Dick, Mark Clifton, Ray Bradbury, Jerome Bixby, Stephen Vincent Benét, Clifford D. Simak, James H. Schmitz",1966,"Compton Russell, Doubleday",9780859550345,eng,431,"American Science fiction, Science fiction, American Fantasy fiction",,,10,0,0
